IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.217.91.121,2053,2053,true,HKG,Asia Pacific,Hong Kong,121,4.08
47.236.144.196,8443,8443,true,SIN,Asia Pacific,Singapore,60,4.08
47.238.245.170,443,443,true,HKG,Asia Pacific,Hong Kong,105,4.08
8.218.243.95,2053,2053,true,HKG,Asia Pacific,Hong Kong,71,4.06
8.219.198.139,8443,8443,true,SIN,Asia Pacific,Singapore,117,4.05
47.238.40.58,8443,8443,true,HKG,Asia Pacific,Hong Kong,100,4.05
47.243.51.171,2053,2053,true,HKG,Asia Pacific,Hong Kong,68,4.04
8.219.68.162,443,443,true,SIN,Asia Pacific,Singapore,109,4.04
47.242.232.14,8443,8443,true,HKG,Asia Pacific,Hong Kong,62,4.04
8.218.188.129,2096,2096,true,HKG,Asia Pacific,Hong Kong,82,4.04
8.222.249.190,8443,8443,true,SIN,Asia Pacific,Singapore,53,4.03
47.237.95.156,2083,2083,true,SIN,Asia Pacific,Singapore,77,4.02
47.238.245.39,80,443,true,SIN,Asia Pacific,Singapore,95,4.02
8.213.208.6,80,443,true,SIN,Asia Pacific,Singapore,68,4.02
47.250.13.77,80,443,true,SIN,Asia Pacific,Singapore,16,4.01
47.245.86.230,8443,8443,true,SIN,Asia Pacific,Singapore,60,4.00
47.76.203.101,2096,2096,true,HKG,Asia Pacific,Hong Kong,88,4.00
47.76.33.40,8443,8443,true,HKG,Asia Pacific,Hong Kong,42,3.99
47.236.169.15,2087,2087,true,SIN,Asia Pacific,Singapore,146,3.99
47.245.33.33,443,443,true,NRT,Asia Pacific,Tokyo,100,3.99
47.243.122.58,80,443,true,SIN,Asia Pacific,Singapore,52,3.98
8.219.50.180,443,443,true,SIN,Asia Pacific,Singapore,54,3.98
47.236.85.11,8443,443,true,SIN,Asia Pacific,Singapore,91,3.98
47.236.123.133,2096,2096,true,SIN,Asia Pacific,Singapore,123,3.98
8.222.193.65,2053,2053,true,SIN,Asia Pacific,Singapore,69,3.98
47.245.118.70,2053,2053,true,SIN,Asia Pacific,Singapore,44,3.98
8.222.214.231,2096,2096,true,SIN,Asia Pacific,Singapore,88,3.98
47.238.255.53,80,443,true,SIN,Asia Pacific,Singapore,37,3.97
8.217.61.176,80,443,true,SIN,Asia Pacific,Singapore,69,3.96
47.76.243.157,80,443,true,SIN,Asia Pacific,Singapore,36,3.94
47.76.247.16,80,443,true,SIN,Asia Pacific,Singapore,78,3.92
8.222.137.192,2096,2096,true,SIN,Asia Pacific,Singapore,60,3.92
47.238.36.145,80,443,true,SIN,Asia Pacific,Singapore,176,3.92
47.238.6.58,2087,2087,true,HKG,Asia Pacific,Hong Kong,110,3.91
8.218.3.198,8443,8443,true,HKG,Asia Pacific,Hong Kong,67,3.91
8.222.184.198,2083,2083,true,SIN,Asia Pacific,Singapore,67,3.91
47.236.169.164,2083,2083,true,SIN,Asia Pacific,Singapore,170,3.91
8.217.127.73,2096,2096,true,HKG,Asia Pacific,Hong Kong,53,3.91
8.218.173.78,2096,2096,true,HKG,Asia Pacific,Hong Kong,116,3.90
8.222.184.198,8443,8443,true,SIN,Asia Pacific,Singapore,57,3.90
47.239.12.227,80,443,true,SIN,Asia Pacific,Singapore,51,3.90
8.218.211.124,80,443,true,SIN,Asia Pacific,Singapore,78,3.90
8.222.181.117,2096,2096,true,SIN,Asia Pacific,Singapore,123,3.88
8.219.103.65,443,443,true,SIN,Asia Pacific,Singapore,74,3.88
8.218.18.132,8443,8443,true,HKG,Asia Pacific,Hong Kong,58,3.88
47.238.44.224,80,443,true,SIN,Asia Pacific,Singapore,76,3.86
8.217.54.204,80,443,true,SIN,Asia Pacific,Singapore,66,3.86
8.210.42.171,2087,2087,true,HKG,Asia Pacific,Hong Kong,59,3.86
47.76.249.116,80,443,true,SIN,Asia Pacific,Singapore,60,3.86
47.239.13.168,80,443,true,SIN,Asia Pacific,Singapore,66,3.86
47.243.243.14,2083,2083,true,HKG,Asia Pacific,Hong Kong,80,3.85
47.238.245.39,80,443,true,SIN,Asia Pacific,Singapore,48,3.85
47.239.12.227,80,443,true,SIN,Asia Pacific,Singapore,65,3.83
8.218.222.36,2087,2087,true,HKG,Asia Pacific,Hong Kong,71,3.82
47.237.82.15,8443,8443,true,SIN,Asia Pacific,Singapore,41,3.82
47.236.165.25,8443,8443,true,SIN,Asia Pacific,Singapore,110,3.81
47.76.254.36,80,443,true,SIN,Asia Pacific,Singapore,45,3.81
47.238.255.53,80,443,true,SIN,Asia Pacific,Singapore,80,3.81
47.76.98.98,8443,8443,true,HKG,Asia Pacific,Hong Kong,58,3.81
8.217.50.252,2087,2087,true,HKG,Asia Pacific,Hong Kong,92,3.81
47.76.220.130,80,443,true,SIN,Asia Pacific,Singapore,50,3.80
