IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.76.49.246,2052,false,HKG,Asia Pacific,Hong Kong,65 ms,20422 kB/s
8.210.101.157,2052,false,HKG,Asia Pacific,Hong Kong,61 ms,18924 kB/s
47.242.59.216,2095,false,HKG,Asia Pacific,Hong Kong,64 ms,17175 kB/s
8.210.146.108,2052,false,HKG,Asia Pacific,Hong Kong,60 ms,16808 kB/s
47.76.49.246,8880,false,HKG,Asia Pacific,Hong Kong,66 ms,16265 kB/s
8.218.48.92,8880,false,HKG,Asia Pacific,Hong Kong,61 ms,14451 kB/s
47.242.176.237,2052,false,HKG,Asia Pacific,Hong Kong,60 ms,14253 kB/s
8.218.48.92,2052,false,HKG,Asia Pacific,Hong Kong,64 ms,14195 kB/s
8.218.136.25,8080,false,HKG,Asia Pacific,Hong Kong,56 ms,13807 kB/s
8.218.204.128,2052,false,HKG,Asia Pacific,Hong Kong,64 ms,13496 kB/s
8.218.48.92,2082,false,HKG,Asia Pacific,Hong Kong,63 ms,13451 kB/s
8.218.48.92,2086,false,HKG,Asia Pacific,Hong Kong,64 ms,12288 kB/s
8.218.48.92,8080,false,HKG,Asia Pacific,Hong Kong,62 ms,12015 kB/s
47.76.33.40,2082,false,HKG,Asia Pacific,Hong Kong,59 ms,11308 kB/s
8.210.146.108,80,false,HKG,Asia Pacific,Hong Kong,59 ms,11090 kB/s
8.217.248.220,8080,false,HKG,Asia Pacific,Hong Kong,63 ms,11047 kB/s
47.242.59.216,2052,false,HKG,Asia Pacific,Hong Kong,64 ms,10595 kB/s
47.242.176.237,2095,false,HKG,Asia Pacific,Hong Kong,56 ms,10368 kB/s
8.217.248.220,2095,false,HKG,Asia Pacific,Hong Kong,63 ms,10196 kB/s
8.219.13.143,2082,false,SIN,Asia Pacific,Singapore,215 ms,9975 kB/s
8.219.110.88,80,false,SIN,Asia Pacific,Singapore,228 ms,9897 kB/s
47.76.49.246,2082,false,HKG,Asia Pacific,Hong Kong,64 ms,9753 kB/s
47.236.87.246,8080,false,SIN,Asia Pacific,Singapore,229 ms,9736 kB/s
8.222.144.50,2082,false,SIN,Asia Pacific,Singapore,214 ms,9719 kB/s
47.237.8.82,2095,false,SIN,Asia Pacific,Singapore,223 ms,9656 kB/s
8.210.101.157,2086,false,HKG,Asia Pacific,Hong Kong,62 ms,9641 kB/s
47.236.116.26,8080,false,SIN,Asia Pacific,Singapore,222 ms,9532 kB/s
8.222.134.170,2082,false,SIN,Asia Pacific,Singapore,218 ms,9531 kB/s
8.222.255.15,2082,false,SIN,Asia Pacific,Singapore,225 ms,9480 kB/s
8.219.170.223,2095,false,SIN,Asia Pacific,Singapore,237 ms,9442 kB/s
47.236.180.51,2086,false,SIN,Asia Pacific,Singapore,219 ms,9356 kB/s
8.219.228.186,2086,false,SIN,Asia Pacific,Singapore,219 ms,9280 kB/s
8.219.178.101,80,false,SIN,Asia Pacific,Singapore,215 ms,9177 kB/s
47.236.121.7,2095,false,SIN,Asia Pacific,Singapore,211 ms,9155 kB/s
8.210.146.108,2086,false,HKG,Asia Pacific,Hong Kong,54 ms,9127 kB/s
8.219.103.57,8080,false,SIN,Asia Pacific,Singapore,237 ms,9115 kB/s
47.236.116.26,80,false,SIN,Asia Pacific,Singapore,253 ms,9109 kB/s
8.222.249.190,2082,false,SIN,Asia Pacific,Singapore,255 ms,9104 kB/s
8.222.209.223,2052,false,SIN,Asia Pacific,Singapore,227 ms,8992 kB/s
8.219.140.229,2086,false,SIN,Asia Pacific,Singapore,231 ms,8944 kB/s
8.219.191.40,8080,false,SIN,Asia Pacific,Singapore,218 ms,8935 kB/s
8.217.248.220,2086,false,HKG,Asia Pacific,Hong Kong,56 ms,8890 kB/s
8.222.254.91,2052,false,SIN,Asia Pacific,Singapore,233 ms,8808 kB/s
8.219.104.242,2082,false,SIN,Asia Pacific,Singapore,242 ms,8806 kB/s
47.236.180.51,8080,false,SIN,Asia Pacific,Singapore,243 ms,8724 kB/s
8.219.175.127,2086,false,SIN,Asia Pacific,Singapore,212 ms,8688 kB/s
8.219.1.92,2082,false,SIN,Asia Pacific,Singapore,234 ms,8669 kB/s
8.219.124.227,2095,false,SIN,Asia Pacific,Singapore,235 ms,8668 kB/s
8.218.48.92,80,false,HKG,Asia Pacific,Hong Kong,63 ms,8623 kB/s
8.222.208.83,2082,false,SIN,Asia Pacific,Singapore,225 ms,8594 kB/s
8.219.206.180,2095,false,SIN,Asia Pacific,Singapore,229 ms,8566 kB/s
8.222.255.15,2095,false,SIN,Asia Pacific,Singapore,231 ms,8539 kB/s
47.242.59.216,2086,false,HKG,Asia Pacific,Hong Kong,63 ms,8535 kB/s
8.219.195.47,2086,false,SIN,Asia Pacific,Singapore,235 ms,8495 kB/s
8.219.126.240,2082,false,SIN,Asia Pacific,Singapore,224 ms,8474 kB/s
47.236.150.13,2095,false,SIN,Asia Pacific,Singapore,239 ms,8473 kB/s
47.236.144.156,8880,false,SIN,Asia Pacific,Singapore,220 ms,8464 kB/s
8.219.142.191,2095,false,SIN,Asia Pacific,Singapore,232 ms,8459 kB/s
8.222.252.150,2082,false,SIN,Asia Pacific,Singapore,230 ms,8458 kB/s
8.219.140.229,2082,false,SIN,Asia Pacific,Singapore,219 ms,8458 kB/s
8.222.213.221,2086,false,SIN,Asia Pacific,Singapore,222 ms,8394 kB/s
8.219.245.187,2082,false,SIN,Asia Pacific,Singapore,253 ms,8388 kB/s
8.219.195.47,2095,false,SIN,Asia Pacific,Singapore,235 ms,8375 kB/s
47.236.169.15,2086,false,SIN,Asia Pacific,Singapore,231 ms,8332 kB/s
47.236.97.90,2082,false,SIN,Asia Pacific,Singapore,214 ms,8283 kB/s
8.219.229.190,2086,false,SIN,Asia Pacific,Singapore,226 ms,8248 kB/s
8.219.122.96,2052,false,SIN,Asia Pacific,Singapore,245 ms,8231 kB/s
